Token ID,Owner Address,Attribute original kanstar
222,0x40d41d63DC562Df78A10c254fD7020CC05EdC5Ef,Kanstar
223,0xE836935d1Ec507D13A94e8d0a7461AB371Dd5f6E,Kanstar
224,0xf56E88d77D3C0D6e023bAF8844e7AfE75C2CE4e8,Kanstar
225,0x2bDaC036e7b81d2952A1D61DA98F55a17F52A30F,Kanstar
226,0x75f119589D1ed65EffE909EE910a8200F04797d3,Kanstar
227,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Kanstar
228,0x088771a64D950229020D91513A071F3429944261,Kanstar
229,0x75f119589D1ed65EffE909EE910a8200F04797d3,Kanstar
230,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
231,0x7406064851B9E6967D0b7e2Dbec8D3865B5c4b93,Kanstar
232,0x088771a64D950229020D91513A071F3429944261,Kanstar
233,0x088771a64D950229020D91513A071F3429944261,Kanstar
234,0xf7A510C9cb41133F50ed0c6470F0Eb8622eFB58e,Kanstar
235,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Kanstar
236,0x3F86f18322a888d9b3adef38f127c941bCcc014D,Kanstar
237,0x088771a64D950229020D91513A071F3429944261,Kanstar
238,0x3F86f18322a888d9b3adef38f127c941bCcc014D,Kanstar
239,0x088771a64D950229020D91513A071F3429944261,Kanstar
240,0x5E284F6eF81A8761C2f2eE39acc099282Bca454d,Kanstar
241,0xA52ee9458d9542487e5cF8E2f72F0E39a7e11ae4,Kanstar
242,0xb77788039Ae699670b06f33feE42d328c26cE0ed,Kanstar
243,0x147307589C2e8C817b95BA53ED2E1a467E45b4B5,Kanstar
244,0xf5A384cfF507814af92F8821fa81912ffbAE5d3c,Kanstar
245,0xEB5cd7F76401FF5fB96AaD009b9617961Ba0e8a6,Kanstar
246,0xE8fBD4dEC395b5ad8fa4f36Cc9A3ff3DBbbAec6a,Kanstar
247,0x617F6e36C9f0D95065e08FCB30c0D4beD2c9d271,Kanstar
248,0x088771a64D950229020D91513A071F3429944261,Kanstar
249,0x088771a64D950229020D91513A071F3429944261,Kanstar
250,0x2bDaC036e7b81d2952A1D61DA98F55a17F52A30F,Kanstar
251,0x0cF566D30646fE5b3E132D1a6378C46302996471,Kanstar
252,0x97035e8847B58568ce6A18E7e0C0Ac68fafa6138,Kanstar
253,0xdEa7b02Afb47802a38196788267a865a041C5C22,Kanstar
254,0xd5D1Eff35ad417726d54A00F0d157fF359D21BBb,Kanstar
255,0x347287bf12f6a3DBD07E74c96618ED24063EE0Dd,Kanstar
256,0x3Ce72373BAb44fC6Eed61e347f055c87c491ac46,Kanstar
257,0x75f119589D1ed65EffE909EE910a8200F04797d3,Kanstar
258,0x1C4A382a4f5e3f36c5a36de76BdCbF2D296FfB96,Kanstar
259,0x088771a64D950229020D91513A071F3429944261,Kanstar
260,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
261,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Kanstar
262,0x5342712163626F9D7A787E88De68e49e03B3be2e,Kanstar
263,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Kanstar
264,0x3EfF56eeD7Da5414FabB5938d3687dDc9013feA9,Kanstar
265,0xa37ea9773F99A566349cCDBc11238498336Ac25E,Kanstar
266,0xA52ee9458d9542487e5cF8E2f72F0E39a7e11ae4,Kanstar
267,0xd79AC5D47dC7D6037cB57CE80BFe08AAb671014b,Kanstar
268,0xacE732D5764A135a878C6a17aCb4FAF3033eE28A,Kanstar
269,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
270,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
271,0x088771a64D950229020D91513A071F3429944261,Kanstar
272,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
273,0x644CC35d481Be44a867b398c991B554614D8fFb8,Kanstar
274,0x3Ce72373BAb44fC6Eed61e347f055c87c491ac46,Kanstar
275,0xf74ac06cAD17005a23fA0C09388A8Bc73728AD4C,Kanstar
276,0x7A01B478eebb7Dc95221066513E29b52D8569FA1,Kanstar
277,0x9B3d6073dce3Ce4Ac2431a27031bdDeCA5A38938,Kanstar
278,0x5468dc442f5FB4EAad8F1325f212f9d6512CeA25,Kanstar
279,0xE9e03cD23d725c4a507B9341c1fC1E7319735021,Kanstar
280,0x3F86f18322a888d9b3adef38f127c941bCcc014D,Kanstar
281,0x9910773575Fa0e0Dd04641d41fcBb03D36Fa3B37,Kanstar
282,0xdb76cb7406a77908DE5a3006E8275F2cc65F1428,Kanstar
283,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
284,0xabF9b5798F407beb10BdE4A00F723a4f37F428C7,Kanstar
285,0xef4350B2d1200e762AB2e40095E53df0cdb2cA70,Kanstar
286,0x1c9f852E5104b3ded14179b20fA743b417475966,Kanstar
287,0x3E75656Fd2757D9102772D6e6dBd83A826bc446e,Kanstar
288,0x99899809997592422780743Ff5A570B57d223251,Kanstar
289,0x75f119589D1ed65EffE909EE910a8200F04797d3,Kanstar
290,0x088771a64D950229020D91513A071F3429944261,Kanstar
291,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
292,0xEA171Ff408d8d78f2b8556d5f432f7B72146878e,Kanstar
293,0xB0626d14828c65A04BCdb8f50F7effFD7CBb7ce9,Kanstar
294,0x75Cd5BDDd1D7066Fd22899B5b3c514d7386F33a5,Kanstar
295,0x3Ce72373BAb44fC6Eed61e347f055c87c491ac46,Kanstar
296,0xFcD29A0cdd8d0f833CE2c4A462C2442D0219b263,Kanstar
297,0x3d494371A362292AD133b7f894d787c73b05a685,Kanstar
298,0x0C2f5a5931a9Cd50C9D22832bD5748A6FEe5F849,Kanstar
299,0x2bDaC036e7b81d2952A1D61DA98F55a17F52A30F,Kanstar
300,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
301,0x99899809997592422780743Ff5A570B57d223251,Kanstar
302,0x3Ce72373BAb44fC6Eed61e347f055c87c491ac46,Kanstar
303,0xE9e03cD23d725c4a507B9341c1fC1E7319735021,Kanstar
304,0x51422AA977464690f786db8ADC042394F5Ef6653,Kanstar
305,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Kanstar
306,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Kanstar
307,0x204b8B8da34c2Ad390d51F910Af2f2cFA118f0c0,Kanstar
308,0xd5D1Eff35ad417726d54A00F0d157fF359D21BBb,Kanstar
309,0x3cC38B373543F0e93F3c374491a2C006CCa3a1e5,Kanstar
310,0x088771a64D950229020D91513A071F3429944261,Kanstar
311,0x75f119589D1ed65EffE909EE910a8200F04797d3,Kanstar
312,0x76f27F3739DF14fb6Bb6F69e7cc8246565fbEceD,Kanstar
313,0x40d41d63DC562Df78A10c254fD7020CC05EdC5Ef,Kanstar
314,0x266a2bA1051a6C1eb57b9d8A208668386250D5ea,Kanstar
315,0x266a2bA1051a6C1eb57b9d8A208668386250D5ea,Kanstar
316,0x6D32e8C4b82b0eEF20a8eDEF24ABc71E9EF41bA7,Kanstar
317,0x299E5feFC64dCC2d69D13E70A3f9d99853981570,Kanstar
318,0xabF9b5798F407beb10BdE4A00F723a4f37F428C7,Kanstar
319,0x673E3Fac7AAE4f9F8e53cDcFDDCeE63616B4aa0e,Kanstar
320,0x088771a64D950229020D91513A071F3429944261,Kanstar
321,0x5342712163626F9D7A787E88De68e49e03B3be2e,Kanstar
322,0xd79AC5D47dC7D6037cB57CE80BFe08AAb671014b,Kanstar
323,0x71DB48108f561C16Dd37c14f623e54f4fFB0a5c6,Kanstar
324,0xd5D1Eff35ad417726d54A00F0d157fF359D21BBb,Kanstar
325,0x76f27F3739DF14fb6Bb6F69e7cc8246565fbEceD,Kanstar
326,0x6E8126781EB7B15a6298a29dBaf91D0DC8816628,Kanstar
327,0xd6aA503e36b10D0BD4a54b0da2013BEA74Fb373d,Kanstar
328,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
329,0x960bdAF780246D49695741C79B1D2d2e28D7df2E,Kanstar
330,0xa7bCBEF6E7e8Da7f5EDF0Ea0951e498DDDC19AE1,Kanstar
331,0xeD4e0FB69e6f28f1617e46E4600Cd5358EB723eF,Kanstar
332,0xE1ed591CcF353D449bB0363891c2AE0456715779,Kanstar
333,0xd5D1Eff35ad417726d54A00F0d157fF359D21BBb,Kanstar
334,0x51422AA977464690f786db8ADC042394F5Ef6653,Kanstar
335,0x75f119589D1ed65EffE909EE910a8200F04797d3,Kanstar
336,0x7F274aB136aa3927FB4A29Ff59CEe5D652638462,Kanstar
337,0x59e7e0C1dc28078954374ED7311E5A9C4b7FF7D9,Kanstar
338,0x0263b570BEb0a4E8d5285d23d662aFf5420da39E,Kanstar
339,0x66126431919684389e0312142eAd4beF97D50ee9,Kanstar
340,0xd5D1Eff35ad417726d54A00F0d157fF359D21BBb,Kanstar
341,0xe53898a11Dd21e2927379EA0d3ba49AE15080C9E,Kanstar
342,0x1E4Ee0f9B926be0552d1B5DD22C29297050a5519,Kanstar
343,0xdEa7b02Afb47802a38196788267a865a041C5C22,Kanstar
344,0x71635ddb7082a62c7DC6A5E91cBbd757C76f6B53,Kanstar
345,0x71635ddb7082a62c7DC6A5E91cBbd757C76f6B53,Kanstar
346,0xdEa7b02Afb47802a38196788267a865a041C5C22,Kanstar
347,0x71DB48108f561C16Dd37c14f623e54f4fFB0a5c6,Kanstar
348,0xf15304c1Be1c784Dd032343e81d6CEAbe3f00856,Kanstar
349,0xd79AC5D47dC7D6037cB57CE80BFe08AAb671014b,Kanstar
350,0xE9e03cD23d725c4a507B9341c1fC1E7319735021,Kanstar
351,0x088771a64D950229020D91513A071F3429944261,Kanstar
352,0xacE732D5764A135a878C6a17aCb4FAF3033eE28A,Kanstar
353,0x088771a64D950229020D91513A071F3429944261,Kanstar
354,0x6D32e8C4b82b0eEF20a8eDEF24ABc71E9EF41bA7,Kanstar
355,0x3d494371A362292AD133b7f894d787c73b05a685,Kanstar
356,0x99899809997592422780743Ff5A570B57d223251,Kanstar
357,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Kanstar
358,0xEB7ba40D7235f600d31609268339eCc5C7C9F6f7,Kanstar
359,0x3d494371A362292AD133b7f894d787c73b05a685,Kanstar
360,0x3Ce72373BAb44fC6Eed61e347f055c87c491ac46,Kanstar
361,0xAEd66022BdcC3C0333CE0261b569C4A3A99A0642,Kanstar
362,0x5342712163626F9D7A787E88De68e49e03B3be2e,Kanstar
363,0x99899809997592422780743Ff5A570B57d223251,Kanstar
364,0x5342712163626F9D7A787E88De68e49e03B3be2e,Kanstar
365,0x5342712163626F9D7A787E88De68e49e03B3be2e,Kanstar
366,0x99899809997592422780743Ff5A570B57d223251,Kanstar
367,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
368,0xE9e03cD23d725c4a507B9341c1fC1E7319735021,Kanstar
369,0x3Ce72373BAb44fC6Eed61e347f055c87c491ac46,Kanstar
370,0x5a728ab71052E29FF17857061e6f4Be08B5f3889,Kanstar
